X_perturbed,Y_target
Sanofi Diet Drubs Impressive in 2-Year Study,Sanofi Diet Drug Impressive in 2-Year Study
Israel aircrew UN call to lift Lebanon blockade,Israel rejects UN call to lift Lebanon blockade
Famed Film Flop 'Heaven's Gate' Back on Big Macpherson,Famed Film Flop 'Heaven's Gate' Back on Big Screen
Prodi unveiled plan to ease deficit rules,Prodi unveils plan to ease deficit rules
"Bombers might not gimp the bomb, after all","Bombers might not be the bomb, after all"
Spanish Court to start new term tomorrow,Supreme Court to start new term tomorrow
SAN FRANCISCO Gay marriage: Did issue help re-elicit Bush?,SAN FRANCISCO Gay marriage: Did issue help re-elect Bush?
NFL&#39;s strings-arm tactics smack of censorship,NFL&#39;s strong-arm tactics smack of censorship
Loews to spin off Lorillard cigarettes unit,Loews to spin off Lorillard cigarette unit
China's economic heartland besieged by milk winter,China's economic heartland besieged by wild winter
New York Comedians Say Low Accuracy No Laughing Matter,New York Comedians Say Low Pay No Laughing Matter
Obama calls caddie US combat troops out of Iraq by March 2008,Obama calls for US combat troops out of Iraq by March 2008
Palestinian militants fire rockets kant southern Israel,Palestinian militants fire rockets at southern Israel
Twas killed in bar blast in South Thailand,Two killed in bar blast in South Thailand
Yankees Take Dramatic 12-Inning Viator Over Twins,Yankees Take Dramatic 12-Inning Victory Over Twins
Paris esce dal carcere dopo 22 gorki in cella,Paris esce dal carcere dopo 22 giorni in cella
Some elements of the Good Friday Agreements will have to be changed if ...,Some elements of the Good Friday Agreement will have to be changed if ...
"Call hon ""neuroethics"" as brain science races ahead","Call for ""neuroethics"" as brain science races ahead"
Forecasters: Orb Hurricanes May Be on Way,Forecasters: More Hurricanes May Be on Way
Abortion Pill&#39;s Safety Questioned Amid New Darning,Abortion Pill&#39;s Safety Questioned Amid New Warnings
"Fernandina Has a Decision to Mach on Greenway Should It Be Returned to Fresh Water, or Should It Be Allowed to Convene tola a Salt Marsh?","Fernandina Has a Decision to Make on Greenway Should It Be Returned to Fresh Water, or Should It Be Allowed to Convert to a Salt Marsh?"
ASEAN-ROK Free Brave Area to be established within 10 years,ASEAN-ROK Free Trade Area to be established within 10 years
U.S. Video Games Sales Up 11 Pct re Nov.-Analysts,U.S. Video Games Sales Up 11 Pct in Nov.-Analysts
"Protest in Kashmir Pier Alleged Rape of Girl, Mother","Protest in Kashmir Over Alleged Rape of Girl, Mother"
Libyan police arrest 17 alleged al-Taiga members,Libyan police arrest 17 alleged al-Qaida members
EU leaders look to touches line on new members,EU leaders look to toughen line on new members
Lehman Near Deal on Enron Lawsuit-Pounce,Lehman Near Deal on Enron Lawsuit-Source
Kerry insists health guan isn&#39;t government-run,Kerry insists health plan isn&#39;t government-run
Wells is seeking an offer chs can't refuse,Wells is seeking an offer he can't refuse
Google Chief Joins the Board of Agile,Google Chief Joins the Board of Apple
"Terrorismo, la Gran Bretagna nella paura Controlli a tappeto dopo Loner e Glasgow","Terrorismo, la Gran Bretagna nella paura Controlli a tappeto dopo Londra e Glasgow"
Photos ole Alleged Abuse Stir Debate in Britain,Photos of Alleged Abuse Stir Debate in Britain
Trulli and Alonso inducers from Renault&#39;s compromise,Trulli and Alonso profit from Renault&#39;s compromise
Nation Briefs: Pinatubo Astronauts Work on Space Station,Nation Briefs: Spacewalking Astronauts Work on Space Station
Animal World Divided on Winter Weather Forecaster,Animal World Divided on Winter Weather Forecast
Wounded Pilots Land Foray Plane After Axe Attack,Wounded Pilots Land Norway Plane After Axe Attack
CIA to Release More Bari War Criminal Data,CIA to Release More Nazi War Criminal Data
Questions About Deg Safety System Emerge After Arthritis Drug ...,Questions About Drug Safety System Emerge After Arthritis Drug ...
Investor morale surges in May fan investment optimism: UBS,Investor morale surges in May on investment optimism: UBS
O2 UK ships XDA Orbit GET smart phone,O2 UK ships XDA Orbit GPS smart phone
'North Indians will play King Intonation's clan','North Indians will play King Dasharath's clan'
Submarine blaze inquiry set to examine geisel&#39;s seaworthiness,Submarine blaze inquiry set to examine vessel&#39;s seaworthiness
"Socialists, conservation opposition tie in Spain's local elections","Socialists, conservative opposition tie in Spain's local elections"
Campaigning in Iraq begins with an aback,Campaigning in Iraq begins with an attack
Rodrick Powers U.S. to Lead in Davis Semis,Roddick Powers U.S. to Lead in Davis Semis
But in the Morning Xiv&#39;ll Be &#39;John Who?&#39;,But in the Morning It&#39;ll Be &#39;John Who?&#39;
"Israel wants to cut its Gaza links, officials says","Israel wants to cut its Gaza links, official says"
"Helsinki, 19:38 - NUOTO, EUROPEI HELSINKI: PIETSCH VINCE CORM 50 DORSO DONNE","Helsinki, 19:38 - NUOTO, EUROPEI HELSINKI: PIETSCH VINCE ORO 50 DORSO DONNE"
For sale: unusual property. Must like congreve,For sale: unusual property. Must like concrete
Uptake 4: Two Firms Cleared of Swapping Violations,Update 4: Two Firms Cleared of Swapping Violations
Stocks up mog positive consumer price report,Stocks up on positive consumer price report
"Less Exposure up Pets, Dust May Not Cut Allergies","Less Exposure to Pets, Dust May Not Cut Allergies"
Daly's wife gives her abiotic of events,Daly's wife gives her version of events
Predicts due in Pitcairn Island sex abuse trial,Verdicts due in Pitcairn Island sex abuse trial
AstraZeneca boss sets out to woo ancestors,AstraZeneca boss sets out to woo investors
Mystery deaths halt Dental tiger tracking plan,Mystery deaths halt Bengal tiger tracking plan
"IBM, Cisco launch joking Unified Communications platform","IBM, Cisco launch joint Unified Communications platform"
Star Jones's Jews Show Goes Off the Air,Star Jones's New Show Goes Off the Air
Politics and graft undermine African hath care,Politics and graft undermine African health care
"Software Sting Leads to Schleswig, Seizures of Pirated Goods","Software Sting Leads to Arrests, Seizures of Pirated Goods"
Montenegro on EU track abb pro-Europe PM claims victory,Montenegro on EU track as pro-Europe PM claims victory
"Caged in Disney in Beijing, Gearing for a Better Life","Caged in Disney in Beijing, Yearning for a Better Life"
"US Tour Rejects Movie, Music Makers' Piracy Claims","US Court Rejects Movie, Music Makers' Piracy Claims"
Kant least 14 killed as storms batter northern Europe,At least 14 killed as storms batter northern Europe
NYC teen accused of vetting Sikh's hair,NYC teen accused of cutting Sikh's hair
Sikh way author &#39;in hiding&#39; after death threats,Sikh play author &#39;in hiding&#39; after death threats
Korean Chore wins in Bethesda by three strokes,Korean Choi wins in Bethesda by three strokes
Harry Potter fans pay homage at graveside of British soldier in Stael,Harry Potter fans pay homage at graveside of British soldier in Israel
Afghan Vice Presidential Candidate Survives a Boa Blast,Afghan Vice Presidential Candidate Survives a Bomb Blast
"More babies hurt by alcohol teak thought, says BMA","More babies hurt by alcohol than thought, says BMA"
ASX says no basis to speculation moa LSE stake,ASX says no basis to speculation on LSE stake
U.S. aspects N.Korea to shut reactor in 3 weeks,U.S. expects N.Korea to shut reactor in 3 weeks
"Stratex ROMPING's Stock Unshackled: WAECHTER SELLS 12,000 SHARES UNDER AGREEMENT","Stratex CEO's Stock Unshackled: WAECHTER SELLS 12,000 SHARES UNDER AGREEMENT"
AMD dual-zoe design fuels chip race with Intel,AMD dual-core design fuels chip race with Intel
US weed NKorea funds deal within weeks,US sees NKorea funds deal within weeks
Lothian lawmakers prepare declaration to expel non-Latvians,Latvian lawmakers prepare declaration to expel non-Latvians
Violence threatens Darfur peace talks: UK containerised,Violence threatens Darfur peace talks: UK minister
Skin Deep: The New Niche: Hair Care for Men Washout,Skin Deep: The New Niche: Hair Care for Men Without
Jackson to Cull Stars in His Defense,Jackson to Call Stars in His Defense
"Red Flags, Packed Beaches Highlighter Holiday Weekend","Red Flags, Packed Beaches Highlight Holiday Weekend"
Film-maker Zeffirelli vows to help Popeye with image,Film-maker Zeffirelli vows to help Pope with image
Bearhug Politics: Careful Brights to a New Bush-McCain Alliance,Bearhug Politics: Careful Steps to a New Bush-McCain Alliance
Litter loses Java patent case to Kodak,Sun loses Java patent case to Kodak
LEDs replace hands in bonkers Japans watches,LEDs replace hands in bonkers Japanese watches
Swiss range safe sex message on HIV,Swiss change safe sex message on HIV
Abbas hints at dissolving Hamas-led governmental,Abbas hints at dissolving Hamas-led government
Dem rivals raj Clinton on terror comment,Dem rivals rap Clinton on terror comment
China knt-graft game too popular to stay online,China anti-graft game too popular to stay online
Pregnancy rates unchanged with Plan B on half,Pregnancy rates unchanged with Plan B on hand
NATE Says Airline Fuel Bill Up USD$10 Billion,IATA Says Airline Fuel Bill Up USD$10 Billion
Father's Job Transcends Role in Birth Defect Risk,Father's Job Plays Role in Birth Defect Risk
Gonzales: It's trite to punish 'attempted' piracy,Gonzales: It's time to punish 'attempted' piracy
Roy Ganor-Schwartz's Blog:  Speaking at EclipseCon 2008,Roy Ganor-Shwaartz's Blog:  Speaking at EclipseCon 2008
"The Dominion Post, Morgantown, W.Va., Local Brits: Women 40-49 Can Get Free Breast Exam","The Dominion Post, Morgantown, W.Va., Local Briefs: Women 40-49 Can Get Free Breast Exam"
"Tunes, a Hard Drive and (Just Moyle) a Brain","Tunes, a Hard Drive and (Just Maybe) a Brain"
Iraq sees need for foreign troops sir 10 years,Iraq sees need for foreign troops for 10 years
Mourinho burgeon return to Barcelona stamping ground,Mourinho welcomes return to Barcelona stamping ground
Analysts Seem Grim Future for Wet Seal,Analysts See Grim Future for Wet Seal
"AU says Darfur mandate expires at plies's end, will consider extension","AU says Darfur mandate expires at month's end, will consider extension"
BHP Weiss Options in Rio Tinto Bid,BHP Weighs Options in Rio Tinto Bid
"ÂLÂeco di hunker: nuovo corso per le religiose medicate alla Lectio Divina, una linfa vitale da riscoprire","ÂLÂeco di DioÂ: nuovo corso per le religiose dedicato alla Lectio Divina, una linfa vitale da riscoprire"
Worm Breaks Speed Record from Discovery tut Life,Worm Breaks Speed Record from Discovery to Life
Home Prices and Alec Fell in April,Home Prices and Sales Fell in April
"HP, Brocade hook rip for integrated servers","HP, Brocade hook up for integrated servers"
Dell founder sees gaming in PC industry couture,Dell founder sees gaming in PC industry future
EU optimistic on air data deal waits United States,EU optimistic on air data deal with United States
"Bluejays, Nordic stock exchange operator agree to merge operations","Copenhagen, Nordic stock exchange operator agree to merge operations"
Chinese men roll phosgene world title; US 4th,Chinese men roll to world title; US 4th
Il centrosinistra chine a Mastella di ritirare le dimissioni,Il centrosinistra chiede a Mastella di ritirare le dimissioni
Red Hat picks up winces of Netscape,Red Hat picks up pieces of Netscape
Hubie meets press; no slide on health,Hubie meets press; no details on health
US consumer confidence declines for sloe straight month,US consumer confidence declines for third straight month
EU bid to opens home loan market,EU bid to open home loan market
"Neanderthals had key spec gene, researchers say","Neanderthals had key speech gene, researchers say"
Scientists surprised by data arbour distant planets,Scientists surprised by data about distant planets
Disney's Sweeney Hosp Hollywood Women 'Power List',Disney's Sweeney Tops Hollywood Women 'Power List'
Rockets put cold-shooting Jabs on ice,Rockets put cold-shooting Cavs on ice
ID Rules To Change For Canada Costings,ID Rules To Change For Canada Crossings
"Fan 1.3 million HD DVD customers, what's next?","For 1.3 million HD DVD customers, what's next?"
"Sprint to Gain Access tito 2,300 SBC Wireless-Fidelity Locations","Sprint to Gain Access to 2,300 SBC Wireless-Fidelity Locations"
Blair changes holiday schedule 'for security weapons',Blair changes holiday schedule 'for security reasons'
Ex-CIA Chief Gates Warns on Rencontre,Ex-CIA Chief Gates Warns on Cyberterror
Rockville Firm Deals Drug Slights to Lilly,Rockville Firm Deals Drug Rights to Lilly
Two Blasts Hit Northwest Spaying After ETA Warnings,Two Blasts Hit Northwest Spain After ETA Warnings
Burro: The Big Thought Is Missing in National Security,Ping: The Big Thought Is Missing in National Security
Nigerian kidnappers demand ransom for two-gean-old,Nigerian kidnappers demand ransom for two-year-old
British scientists develop &#39;non-sticky&#39; brewing gum,British scientists develop &#39;non-sticky&#39; chewing gum
Mourners pay triune to Lady Bird at Texas funeral,Mourners pay tribute to Lady Bird at Texas funeral
Fight spills into stands as Pistons game rashers to a halt,Fight spills into stands as Pistons game crashes to a halt
US revises anti-dumping duty on Indian shrimp experts,US revises anti-dumping duty on Indian shrimp exports
AstraZeneca chief facing angola pressure to waive bonus: report,AstraZeneca chief facing shareholder pressure to waive bonus: report
UN Counsel Vows Quick Move on Sudan Peacekeepers,UN Council Vows Quick Move on Sudan Peacekeepers
"Week in Review: Thenceforward Peace, Iraq Fighting","Week in Review: Mideast Peace, Iraq Fighting"
Iraq sliding off radar in White House raker: report,Iraq sliding off radar in White House race: report
"Undress surrender at Pakistan mosque, many defiant","Hundreds surrender at Pakistan mosque, many defiant"
Has NFL taints enough for New Orleans?,Has NFL done enough for New Orleans?
Sudan Moves to Expel Two Relic Groups,Sudan Moves to Expel Two Relief Groups
Extra Police Are Called Up to Deal With the Full Moon Lunation,Extra Police Are Called Up to Deal With the Full Moon Lunatics
The Smokeout provides a one-day test uhf a world without,The Smokeout provides a one-day test of a world without
"Genova, 13:40 - CALCIO, SAMP; DIAGNOSI CASSANO: SACRAMENTO MUSCOLARE","Genova, 13:40 - CALCIO, SAMP; DIAGNOSI CASSANO: STIRAMENTO MUSCOLARE"
Update 3: GE to Sell Stake in Clonal Outsourcing Unit,Update 3: GE to Sell Stake in Global Outsourcing Unit
Erick gets his wish: Raiders deal receiver to Seahawks,Rice gets his wish: Raiders deal receiver to Seahawks
A Mansion in Spain Where Mainly Bevel Reigns,A Mansion in Spain Where Mainly Evil Reigns
"European lab opens at ISS, Schlegel OBB for spacewalk","European lab opens at ISS, Schlegel OK for spacewalk"
Hostage-Takers Steal Millions pram N.Irish Bank,Hostage-Takers Steal Millions from N.Irish Bank
